,age,careAddr,careNm,careTel,chargeNm,colorCd,desertionNo,filename,happenDt,happenPlace,kindCd,neuterYn,noticeEdt,noticeNo,noticeSdt,officetel,orgNm,popfile,processState,sexCd,specialMark,weight
0,2014(년생),세종특별자치시  장군면 장척로 274 (장군면) 리얼펫동물병원,리얼펫동물병원,044-864-7579,농업축산과,실버탭,469569201800524,http://www.animal.go.kr/files/shelter/2018/10/201811071111344_s.jpg,20181106,조치원 다원 파크리안,[고양이] 페르시안-페프시안 친칠라,N,20181119,세종-세종-2018-00341,20181107,044-300-4447,세종특별자치시,http://www.animal.go.kr/files/shelter/2018/10/201811071111344.jpg,보호중,M,가위 미용 흔적,4(Kg)
1,2016(년생),세종특별자치시  장군면 장척로 274 (장군면) 리얼펫동물병원,리얼펫동물병원,044-864-7579,농업축산과,갈색,469569201800523,http://www.animal.go.kr/files/shelter/2018/10/201811071111411_s.jpg,20181106,부강119 근방,[개] 믹스견,N,20181119,세종-세종-2018-00340,20181107,044-300-4447,세종특별자치시,http://www.animal.go.kr/files/shelter/2018/10/201811071111411.jpg,보호중,M,가슴과 목에 흰털. 치아와 닮음,2.9(Kg)
2,2016(년생),세종특별자치시  장군면 장척로 274 (장군면) 리얼펫동물병원,리얼펫동물병원,044-864-7579,농업축산과,애플,469569201800522,http://www.animal.go.kr/files/shelter/2018/10/201811071111104_s.jpg,20181106,장군면 밤실길,[개] 푸들,N,20181119,세종-세종-2018-00339,20181107,044-300-4447,세종특별자치시,http://www.animal.go.kr/files/shelter/2018/10/201811071111104.jpg,보호중,F,최근 미용함. 사람 좋아함,3.7(Kg)
3,2018(년생),제주특별자치도 제주시 첨단동길 184-14 (용강동),제주유기동물보호센터,064-710-4067,,갈색,450650201806574,http://www.animal.go.kr/files/shelter/2018/10/201811071011232_s.jpg,20181106,제주시 애월읍 장전리 389-5,[개] 믹스견,N,20181119,제주-제주-2018-05927,20181107,,제주특별자치도,http://www.animal.go.kr/files/shelter/2018/10/201811071011232.jpg,보호중,M,(개체관리번호 5892) 생후5개월,7.7(Kg)
4,2018(년생),제주특별자치도 제주시 첨단동길 184-14 (용강동),제주유기동물보호센터,064-710-4067,,갈색,450650201806573,http://www.animal.go.kr/files/shelter/2018/10/201811071011504_s.jpg,20181106,제주시 애월읍 납읍리 839,[개] 믹스견,N,20181119,제주-제주-2018-05926,20181107,,제주특별자치도,http://www.animal.go.kr/files/shelter/2018/10/201811071011504.jpg,보호중,M,(개체관리번호 5891) 생후5개월,9(Kg)
5,2016(년생),제주특별자치도 제주시 첨단동길 184-14 (용강동),제주유기동물보호센터,064-710-4067,,흰색,450650201806572,http://www.animal.go.kr/files/shelter/2018/10/201811071011138_s.jpg,20181106,제주시 애월읍 납읍리 839,[개] 믹스견,N,20181119,제주-제주-2018-05925,20181107,,제주특별자치도,http://www.animal.go.kr/files/shelter/2018/10/201811071011138.jpg,보호중,M,"(개체관리번호 5890) 초록/노랑 목줄 착용, 경계심 강함",12(Kg)
6,2017(년생),제주특별자치도 제주시 첨단동길 184-14 (용강동),제주유기동물보호센터,064-710-4067,,흰/갈/검,450650201806571,http://www.animal.go.kr/files/shelter/2018/10/201811071011655_s.jpg,20181106,제주시 한천초 인근,[개] 비글,N,20181119,제주-제주-2018-05924,20181107,,제주특별자치도,http://www.animal.go.kr/files/shelter/2018/10/201811071011655.jpg,보호중,F,(개체관리번호 5889),8(Kg)
7,2017(년생),제주특별자치도 제주시 첨단동길 184-14 (용강동),제주유기동물보호센터,064-710-4067,,검정,450650201806570,http://www.animal.go.kr/files/shelter/2018/10/201811071011407_s.jpg,20181106,제주시 한경면 명이5길 138,[개] 믹스견,N,20181119,제주-제주-2018-05923,20181107,,제주특별자치도,http://www.animal.go.kr/files/shelter/2018/10/201811071011407.jpg,보호중,M,"(개체관리번호 5888) 낡은 갈색목줄 착용, 배,발부분 흰색 털",28(Kg)
8,2018(년생),제주특별자치도 제주시 첨단동길 184-14 (용강동),제주유기동물보호센터,064-710-4067,,갈색,450650201806569,http://www.animal.go.kr/files/shelter/2018/10/201811071011941_s.jpg,20181106,제주시 한림읍 오로라정원,[개] 믹스견,N,20181119,제주-제주-2018-05922,20181107,,제주특별자치도,http://www.animal.go.kr/files/shelter/2018/10/201811071011941.jpg,보호중,F,(개체관리번호 5887) 생후2개월,2.6(Kg)
9,2018(년생),제주특별자치도 제주시 첨단동길 184-14 (용강동),제주유기동물보호센터,064-710-4067,,갈색,450650201806568,http://www.animal.go.kr/files/shelter/2018/10/201811071011163_s.jpg,20181106,제주시 조천14길 7-2,[개] 골든 리트리버,N,20181119,제주-제주-2018-05921,20181107,,제주특별자치도,http://www.animal.go.kr/files/shelter/2018/10/201811071011163.jpg,보호중,M,"(개체관리번호 5886) 생후4개월, 빨강목줄 착용",8.6(Kg)
10,2018(년생),제주특별자치도 제주시 첨단동길 184-14 (용강동),제주유기동물보호센터,064-710-4067,,흰색,450650201806567,http://www.animal.go.kr/files/shelter/2018/10/201811071011708_s.jpg,20181106,서귀포시 516로 65,[개] 믹스견,N,20181119,제주-제주-2018-05920,20181107,,제주특별자치도,http://www.animal.go.kr/files/shelter/2018/10/201811071011708.jpg,보호중,F,(개체관리번호 5885) 생후3개월,3.5(Kg)
11,2018(년생),제주특별자치도 제주시 첨단동길 184-14 (용강동),제주유기동물보호센터,064-710-4067,,갈색,450650201806566,http://www.animal.go.kr/files/shelter/2018/10/201811071011348_s.jpg,20181106,서귀포시 516로 65,[개] 믹스견,N,20181119,제주-제주-2018-05919,20181107,,제주특별자치도,http://www.animal.go.kr/files/shelter/2018/10/201811071011348.jpg,보호중,M,(개체관리번호 5884) 생후10개월,17(Kg)
12,2018(년생),제주특별자치도 제주시 첨단동길 184-14 (용강동),제주유기동물보호센터,064-710-4067,,흰색,450650201806565,http://www.animal.go.kr/files/shelter/2018/10/201811071011116_s.jpg,20181106,서귀포시 도순동 1303 삼일산장농원,[개] 믹스견,N,20181119,제주-제주-2018-05918,20181107,,제주특별자치도,http://www.animal.go.kr/files/shelter/2018/10/201811071011116.jpg,보호중,M,(개체관리번호 5883) 생후11개월,17(Kg)
13,2018(년생),제주특별자치도 제주시 첨단동길 184-14 (용강동),제주유기동물보호센터,064-710-4067,,흰색,450650201806564,http://www.animal.go.kr/files/shelter/2018/10/201811071011750_s.jpg,20181106,서귀포시 표선면 세성로212번길 81-20,[개] 믹스견,N,20181119,제주-제주-2018-05917,20181107,,제주특별자치도,http://www.animal.go.kr/files/shelter/2018/10/201811071011750.jpg,보호중,M,(개체관리번호 5882) 생후3개월,5.1(Kg)
14,2018(년생),제주특별자치도 제주시 첨단동길 184-14 (용강동),제주유기동물보호센터,064-710-4067,,흰색,450650201806563,http://www.animal.go.kr/files/shelter/2018/10/201811071011514_s.jpg,20181106,서귀포시 표선면 세성로212번길 81-20,[개] 믹스견,N,20181119,제주-제주-2018-05916,20181107,,제주특별자치도,http://www.animal.go.kr/files/shelter/2018/10/201811071011514.jpg,보호중,M,(개체관리번호 5881) 생후3개월,5(Kg)
15,2018(년생),제주특별자치도 제주시 첨단동길 184-14 (용강동),제주유기동물보호센터,064-710-4067,,검정,450650201806562,http://www.animal.go.kr/files/shelter/2018/10/201811071011120_s.jpg,20181106,서귀포시 표선면 세성로212번길 81-20,[개] 믹스견,N,20181119,제주-제주-2018-05915,20181107,,제주특별자치도,http://www.animal.go.kr/files/shelter/2018/10/201811071011120.jpg,보호중,M,(개체관리번호 5880) 생후3개월,2.5(Kg)
16,2018(년생),제주특별자치도 제주시 첨단동길 184-14 (용강동),제주유기동물보호센터,064-710-4067,,검정,450650201806561,http://www.animal.go.kr/files/shelter/2018/10/201811071011595_s.jpg,20181106,서귀포시 표선면 세성로212번길 81-20,[개] 믹스견,N,20181119,제주-제주-2018-05914,20181107,,제주특별자치도,http://www.animal.go.kr/files/shelter/2018/10/201811071011595.jpg,보호중,M,(개체관리번호 5879) 생후3개월,4.4(Kg)
17,2018(년생),제주특별자치도 제주시 첨단동길 184-14 (용강동),제주유기동물보호센터,064-710-4067,,검정,450650201806560,http://www.animal.go.kr/files/shelter/2018/10/201811071011732_s.jpg,20181106,서귀포시 표선면 세성로212번길 81-20,[개] 믹스견,N,20181119,제주-제주-2018-05913,20181107,,제주특별자치도,http://www.animal.go.kr/files/shelter/2018/10/201811071011732.jpg,보호중,M,(개체관리번호 5878) 생후3개월,3(Kg)
18,2018(년생),제주특별자치도 제주시 첨단동길 184-14 (용강동),제주유기동물보호센터,064-710-4067,,검정,450650201806559,http://www.animal.go.kr/files/shelter/2018/10/201811071011834_s.jpg,20181106,서귀포시 표선면 세성로212번길 81-20,[개] 믹스견,N,20181119,제주-제주-2018-05912,20181107,,제주특별자치도,http://www.animal.go.kr/files/shelter/2018/10/201811071011834.jpg,보호중,F,(개체관리번호 5877) 생후3개월,4(Kg)
19,2015(년생),제주특별자치도 제주시 첨단동길 184-14 (용강동),제주유기동물보호센터,064-710-4067,,흰/검,450650201806558,http://www.animal.go.kr/files/shelter/2018/10/201811071011188_s.jpg,20181106,서귀포시 하원북로 194-60,[개] 믹스견,N,20181119,제주-제주-2018-05911,20181107,,제주특별자치도,http://www.animal.go.kr/files/shelter/2018/10/201811071011188.jpg,보호중,M,(개체관리번호 5876) 갈색 가죽목줄 착용,12(Kg)
20,2018(년생),"경상남도 창원시 의창구 창이대로 71 (명서동, 창원시농업기술센터) 창원지도과",창원유기동물보호소,055-225-5541,의창성산구,흰색,448567201801128,http://www.animal.go.kr/files/shelter/2018/10/201811070811935_s.jpg,20181106,의창구 대산면 우암초등학교 옆 수로 내,[개] 믹스견,N,20181115,경남-창원1-2018-00905,20181107,055-225-5543,경상남도 창원시 의창성산구,http://www.animal.go.kr/files/shelter/2018/10/201811070811935.jpg,보호중,F,H-11-1-15-2  흰색. 피부병. 까칠함,2.1(Kg)
21,2018(년생),"경상남도 창원시 의창구 창이대로 71 (명서동, 창원시농업기술센터) 창원지도과",창원유기동물보호소,055-225-5541,의창성산구,흰색,448567201801127,http://www.animal.go.kr/files/shelter/2018/10/201811070811149_s.jpg,20181106,의창구 대산면 우암초등학교 옆 수로 내,[개] 믹스견,N,20181115,경남-창원1-2018-00904,20181107,055-225-5543,경상남도 창원시 의창성산구,http://www.animal.go.kr/files/shelter/2018/10/201811070811149.jpg,보호중,M,H-11-1-15-1  흰색. 피부병. 까칠함,2.5(Kg)
22,2018(년생),"경상남도 거창군 거창읍 거창대로 13-2 (거창읍, 칠성슈퍼)",나래동물병원,055-942-8875,거창군,갈색,448547201800340,http://www.animal.go.kr/files/shelter/2018/10/201811062111826_s.jpg,20181106,거창읍사무소 부근,[개] 믹스견,N,20181119,경남-거창-2018-00341,20181107,055-940-8140,경상남도 거창군,http://www.animal.go.kr/files/shelter/2018/10/201811062111826.jpg,보호중,M,"온순함, 4개월 가량 강아지",4(Kg)
23,2018(년생),경상남도 함양군 수동면 변동3길 6-2 (수동면),중앙동물병원,055-963-7615,정순우,"갈색, 검정",448546201800147,http://www.animal.go.kr/files/shelter/2018/10/201811062111807_s.jpg,20181106,함양읍 이은리,[개] 믹스견,N,20181119,경남-함양-2018-00144,20181107,055-960-5244,경상남도 함양군,http://www.animal.go.kr/files/shelter/2018/10/201811062111807.jpg,보호중,M,두 마리가 같이 발견되었으며 비교적 건강상태 양호하며 사람을 잘 따름.,1.5(Kg)
24,2018(년생),경상남도 함양군 수동면 변동3길 6-2 (수동면),중앙동물병원,055-963-7615,정순우,"갈색, 검정",448546201800146,http://www.animal.go.kr/files/shelter/2018/10/201811062111918_s.jpg,20181106,함양읍 이은리,[개] 믹스견,N,20181119,경남-함양-2018-00143,20181107,055-960-5244,경상남도 함양군,http://www.animal.go.kr/files/shelter/2018/10/201811062111918.jpg,보호중,M,두 마리가 같이 발견되었으며 비교적 건강상태 양호하며 사람을 잘 따름.,1.5(Kg)
25,2014(년생),경상남도 함양군 수동면 변동3길 6-2 (수동면),중앙동물병원,055-963-7615,정순우,"갈색, 흰색",448546201800145,http://www.animal.go.kr/files/shelter/2018/10/201811062111247_s.jpg,20181106,휴천면,[개] 믹스견,N,20181119,경남-함양-2018-00142,20181107,055-960-5244,경상남도 함양군,http://www.animal.go.kr/files/shelter/2018/10/201811062111247.jpg,보호중,M,"건강상태 비교적 양호함, 모색은 전체적으로 황색을 띄며 귀가 접혀있는 모습",5(Kg)
26,2018(년생),경상남도 거제시 사등면 사곡리 375-1번지,거제시유기동물보호소,055-639-6368,이성민,갈색,448537201800893,http://www.animal.go.kr/files/shelter/2018/10/201811071211531_s.jpg,20181106,거제면 읍내로 2길 11-1,[개] 믹스견,N,20181119,경남-거제-2018-00895,20181107,055-639-6366,경상남도 거제시,http://www.animal.go.kr/files/shelter/2018/10/201811071211531.jpg,보호중,F,많이 말랐음,3(Kg)
27,2018(년생),경상남도 거제시 사등면 사곡리 375-1번지,거제시유기동물보호소,055-639-6368,이성민,검은색,448537201800892,http://www.animal.go.kr/files/shelter/2018/10/201811071211605_s.jpg,20181106,고현 아동병원밑 차도길,[개] 믹스견,N,20181119,경남-거제-2018-00894,20181107,055-639-6366,경상남도 거제시,http://www.animal.go.kr/files/shelter/2018/10/201811071211605.jpg,보호중,F,활발함,5(Kg)
28,2018(년생),경상남도 거제시 사등면 사곡리 375-1번지,거제시유기동물보호소,055-639-6368,이성민,검은색,448537201800891,http://www.animal.go.kr/files/shelter/2018/10/201811071211465_s.jpg,20181106,한솔 정형외과 골목안,[고양이] 기타,U,20181119,경남-거제-2018-00893,20181107,055-639-6366,경상남도 거제시,http://www.animal.go.kr/files/shelter/2018/10/201811071211465.jpg,보호중,M,허피스심함,2(Kg)
29,2018(년생),경상남도 거제시 사등면 사곡리 375-1번지,거제시유기동물보호소,055-639-6368,이성민,"흰색,갈색",448537201800890,http://www.animal.go.kr/files/shelter/2018/10/201811070911752_s.jpg,20181106,고현동 삼도아파트 재활용장,[고양이] 기타,U,20181119,경남-거제-2018-00892,20181107,055-639-6366,경상남도 거제시,http://www.animal.go.kr/files/shelter/2018/10/201811070911752.jpg,종료(자연사),Q,부상고양이,1(Kg)
30,2018(년생),부산광역시 강서구 가락대로1283번길 25-2 (봉림동) (사)유기동물및보호관리협회,유기동물및관리협회,051-971-6208,김해시,검갈색,448535201801172,http://www.animal.go.kr/files/shelter/2018/10/201811070911974_s.jpg,20181106,김해시 함박로 14,[고양이] 한국 고양이,N,20181119,경남-김해-2018-01154,20181107,055-330-4328,경상남도 김해시,http://www.animal.go.kr/files/shelter/2018/10/201811070911974.jpg,보호중,F,구조후 폐사,1.5(Kg)
31,2017(년생),부산광역시 강서구 가락대로1283번길 25-2 (봉림동) (사)유기동물및보호관리협회,유기동물및관리협회,051-971-6208,김해시,흰색,448535201801171,http://www.animal.go.kr/files/shelter/2018/10/201811070911692_s.jpg,20181106,김해시 진영읍 하계로 262-10,[개] 말티즈,U,20181119,경남-김해-2018-01153,20181107,055-330-4328,경상남도 김해시,http://www.animal.go.kr/files/shelter/2018/10/201811070911692.jpg,보호중,M,1살추정,2(Kg)
32,2017(년생),경상북도 영주시 장수면 반구리 16 영주시 동물보호센터 주소 : 영주시 장수면 반구리 407-8,영주시 동물보호센터,054-639-7354,영주시,"검정,황색",447509201800297,http://www.animal.go.kr/files/shelter/2018/10/201811061411663_s.jpg,20181106,영주시동물보호센터부근,[개] 믹스견,U,20181119,경북-영주-2018-00308,20181107,054-639-7592,경상북도 영주시,http://www.animal.go.kr/files/shelter/2018/10/201811061411663.jpg,보호중,F,발가락은 흰색,1.9(Kg)
33,2017(년생),경상북도 경주시 금성로 385 (성건동),가나동물병원,054-774-9975,경주시,화이트,447505201801364,http://www.animal.go.kr/files/shelter/2018/10/201811061711893_s.jpg,20181106,양남면 석촌리,[개] 포메라니안,U,20181119,경북-경주-2018-01075,20181107,054-779-6303,경상북도 경주시,http://www.animal.go.kr/files/shelter/2018/10/201811061711893.jpg,보호중,M,"우전지 교상, 출혈심함 (응급조치 시행) / 포메라니안 믹스",4(Kg)
34,2018(년생),전라북도 익산시 서동로42길 77 (용제동) 16통 1반,익산유기동물보호소,010-3659-2380,이성엽,흰색,445468201801160,http://www.animal.go.kr/files/shelter/2018/10/201811062211745_s.jpg,20181106,익산시동서로51길 바이크매니아,[개] 말티즈,N,20181119,전북-익산-2018-00937,20181107,063-859-5769,전라북도 익산시,http://www.animal.go.kr/files/shelter/2018/10/201811062211745.jpg,보호중,M,생후5개월정도 보라색염색도되여있으며 빨강색하네스옷도입고있음,2(Kg)
35,2016(년생),전라북도 익산시 서동로42길 77 (용제동) 16통 1반,익산유기동물보호소,010-3659-2380,이성엽,흰색,445468201801159,http://www.animal.go.kr/files/shelter/2018/10/201811062211568_s.jpg,20181106,익산시동산동주공아파트101동앞,[개] 믹스견,N,20181119,전북-익산-2018-00936,20181107,063-859-5769,전라북도 익산시,http://www.animal.go.kr/files/shelter/2018/10/201811062211568.jpg,보호중,M,발발이믹스개이며이쁘게생겼음,8(Kg)
36,2017(년생),전라북도 익산시 서동로42길 77 (용제동) 16통 1반,익산유기동물보호소,010-3659-2380,이성엽,베이지갈색,445468201801158,http://www.animal.go.kr/files/shelter/2018/10/201811062211151_s.jpg,20181106,익산시동산동휴먼시아3단지303동앞주차장,[개] 믹스견,N,20181119,전북-익산-2018-00935,20181107,063-859-5769,전라북도 익산시,http://www.animal.go.kr/files/shelter/2018/10/201811062211151.jpg,보호중,M,발발이믹스개이며 순함,7(Kg)
37,2018(년생),충청남도 아산시 둔포면 둔포로 33 (둔포면) 충청남도 아산시 염치읍 석정리 99-21,중부벳동물병원,041-533-3563,최현주,치즈,444452201801107,http://www.animal.go.kr/files/shelter/2018/10/20181107131122_s.jpg,20181106,34번국도 천안에서 둔포방향,[고양이] 한국 고양이,N,20181116,충남-아산-2018-00996,20181107,041-537-3831,충청남도 아산시,http://www.animal.go.kr/files/shelter/2018/10/20181107131122.jpg,보호중,M,1108호(관리) 996호(공고)2개월령. 도로에 어린고양이 방치됨. 혈변증세 보임,0.5(Kg)
38,2017(년생),충청남도 아산시 둔포면 둔포로 33 (둔포면) 충청남도 아산시 염치읍 석정리 99-21,중부벳동물병원,041-533-3563,최현주,흰색,444452201801106,http://www.animal.go.kr/files/shelter/2018/10/201811061411787[1]_s.jpg,20181106,아산시 풍기동,[개] 믹스견,N,20181116,충남-아산-2018-00995,20181107,041-537-3831,충청남도 아산시,http://www.animal.go.kr/files/shelter/2018/10/201811061411787[1].jpg,종료(반환),M,1106호(관리) 995호(공고) 착하고 순함.,20(Kg)
39,2017(년생),충청북도 증평군 도안면 입장길 239 (도안면),괴산증평동물보호센터,010-3169-1151,이제훈,흰색,443446201800121,http://www.animal.go.kr/files/shelter/2018/10/201811071011237_s.jpg,20181106,괴산군 청안면 효근5길35-53,[개] 믹스견,N,20181121,충북-괴산-2018-00120,20181107,043-830-3232,충청북도 괴산군,http://www.animal.go.kr/files/shelter/2018/10/201811071011237.jpg,보호중,M,사람을 경계하고 잘 따르지않음,15(Kg)
40,2018(년생),"강원도 강릉시 성산면 내맬길 172 (성산면, 유기동물보호소)",강릉시 동물보호소,033-641-7515,전찬,연갈색,442420201800706,http://www.animal.go.kr/files/shelter/2018/10/20181107121158_s.jpg,20181106,경포중학교 앞,[개] 골든 리트리버,N,20181119,강원-강릉-2018-00708,20181107,033-640-5591,강원도 강릉시,http://www.animal.go.kr/files/shelter/2018/10/20181107121158.jpg,보호중,F,목줄없이발견 온순함,7.4(Kg)
41,2011(년생),울산광역시 울주군 온양읍 발리 1144,울산유기동물보호센터,052-238-6113,연성우,투톤,431373201800842,http://www.animal.go.kr/files/shelter/2018/10/201811071411136_s.jpg,20181106,온양읍대우아파트단지내,[개] 시츄,U,20181119,울산-울주-2018-00636,20181107,052-204-1634,울산광역시 울주군,http://www.animal.go.kr/files/shelter/2018/10/201811071411136.jpg,보호중,F,자가미용 털짧은상태 눈상태안좋음,5.1(Kg)
42,2017(년생),울산광역시 울주군 온양읍 화산발리로 543 (온양읍),울산유기동물보호센터,052-238-6113,이경민(중구청),흰색,431369201800469,http://www.animal.go.kr/files/shelter/2018/10/201811071111779_s.jpg,20181106,태화동 십리대밭길 산책로,[개] 진도견,N,20181119,울산-중구-2018-00425,20181107,052-290-3332,울산광역시 중구,http://www.animal.go.kr/files/shelter/2018/10/201811071111779.jpg,보호중,M,초크체인착용 사람에게 온순함 눈위상처 야위었음,16(Kg)
43,2012(년생),대전광역시 유성구 갑동로15번길 20-39 (갑동) 대전동물보호센터,대전동물보호센터,042-825-1118,민규홍,흑백,430367201801224,http://www.animal.go.kr/files/shelter/2018/10/201811071311553_s.jpg,20181106,대전광역시 유성구 원내동 진잠타운@ 인근,[개] 치와와,U,20181119,대전-유성-2018-01237,20181107,042-611-2696,대전광역시 유성구,http://www.animal.go.kr/files/shelter/2018/10/201811071311553.jpg,보호중,F,특징없음,2.00(Kg)
44,2018(년생),대전광역시 유성구 갑동로15번길 20-39 (갑동) 대전동물보호센터,대전동물보호센터,042-825-1118,민규홍,황백,430367201801223,http://www.animal.go.kr/files/shelter/2018/10/201811071311215_s.jpg,20181106,대전광역시 유성구 교촌동 644-9 몬스터카센터 내,[고양이] 한국 고양이,U,20181119,대전-유성-2018-01236,20181107,042-611-2696,대전광역시 유성구,http://www.animal.go.kr/files/shelter/2018/10/201811071311215.jpg,보호중,M,상태불량,0.70(Kg)
45,2018(년생),대전광역시 유성구 갑동로15번길 20-39 (갑동),대전동물보호센터,042-825-1118,조원배,회백,430365201800849,http://www.animal.go.kr/files/shelter/2018/10/20181107091147_s.jpg,20181106,선화동 136-11번지 주변,[고양이] 코숏,U,20181119,대전-중구-2018-00772,20181107,042-606-6553,대전광역시 중구,http://www.animal.go.kr/files/shelter/2018/10/20181107091147.jpg,보호중,Q,",",0.15(Kg)
46,2016(년생),대전광역시 유성구 갑동로15번길 20-39 (갑동),대전동물보호센터,042-825-1118,조원배,백,430365201800848,http://www.animal.go.kr/files/shelter/2018/10/201811070911817_s.jpg,20181106,선화동 108-15번지 주변,[고양이] 터키시 앙고라,U,20181119,대전-중구-2018-00771,20181107,042-606-6553,대전광역시 중구,http://www.animal.go.kr/files/shelter/2018/10/201811070911817.jpg,보호중,Q,",",3.00(Kg)
47,2016(년생),"광주광역시 북구 본촌마을길 25 (본촌동, 건국동사무소) 광주 동물보호소",광주 동물보호소,062-571-2808,동구,흰,429359201800370,http://www.animal.go.kr/files/shelter/2018/10/201811061611799_s.jpg,20181106,동구 산수동,[개] 포메라니안,N,20181119,광주-동구-2018-00371,20181107,062-608-2724,광주광역시 동구,http://www.animal.go.kr/files/shelter/2018/10/201811061611799.jpg,보호중,M,18-1529 달콤,3.7(Kg)
48,2013(년생),인천광역시 계양구 장제로 923 (병방동),계양구유기동물보호소,032-552-0075,권소희,검갈색/백색,428355201800727,http://www.animal.go.kr/files/shelter/2018/10/201811062211972_s.jpg,20181106,다남교부근 아라뱃길,[개] 웰시 코기 펨브로크,N,20181119,인천-계양-2018-00694,20181107,032-450-6844,인천광역시 계양구,http://www.animal.go.kr/files/shelter/2018/10/201811062211972.jpg,보호중,F,"코부위 탈모,많이 짖음",9.0(Kg)
